ensembl_gene_id	external_gene_name	hsapiens_homolog_ensembl_gene	hsapiens_homolog_associated_gene_name	hsapiens_homolog_ensembl_peptide	hsapiens_homolog_chromosome	hsapiens_homolog_chrom_start	hsapiens_homolog_chrom_end	hsapiens_homolog_canonical_transcript_protein	hsapiens_homolog_subtype	hsapiens_homolog_orthology_type	hsapiens_homolog_perc_id	hsapiens_homolog_perc_id_r1	hsapiens_homolog_goc_score	hsapiens_homolog_wga_coverage	hsapiens_homolog_orthology_confidence
ENSTGUG00000003129	BCAP29	ENSG00000075790	BCAP29	ENSP00000005259	7	107580246	107629170	ENSTGUP00000003220	Amniota	ortholog_one2one	57.2016	57.6763	100	66.94	1
ENSTGUG00000003132	OXNAD1	ENSG00000154814	OXNAD1	ENSP00000285083	3	16265160	16350299	ENSTGUP00000003227	Amniota	ortholog_one2one	58.3596	59.2949	100	87.15	1
ENSTGUG00000003133	SLC26A4	ENSG00000091137	SLC26A4	ENSP00000494017	7	107660828	107717809	ENSTGUP00000003263	Amniota	ortholog_one2one	75.7381	75.641	100	99	1
ENSTGUG00000003139	RFTN1	ENSG00000131378	RFTN1	ENSP00000334153	3	16313574	16514026	ENSTGUP00000003233	Amniota	ortholog_one2one	55.4817	57.7855	100	84.45	1
ENSTGUG00000003153	USP40	ENSG00000085982	USP40	ENSP00000251722	2	233475520	233566782	ENSTGUP00000003265	Amniota	ortholog_one2one	60.9005	62.4291	25	90.95	1
ENSTGUG00000003154	PLCL2	ENSG00000154822	PLCL2	ENSP00000478458	3	16802651	17090604	ENSTGUP00000003249	Amniota	ortholog_one2one	86.0177	86.2467	100	90.04	1
ENSTGUG00000003159	TBC1D5	ENSG00000131374	TBC1D5	ENSP00000253692	3	17157162	18444817	ENSTGUP00000037401	Amniota	ortholog_one2one	73.0024	75.8491	100	95.78	1
ENSTGUG00000003177	TRAF3IP1	ENSG00000204104	TRAF3IP1	ENSP00000362424	2	238320441	238400897	ENSTGUP00000003277	Amniota	ortholog_one2one	52.0486	49.6382	50	49.24	1
ENSTGUG00000003181	SLC26A3	ENSG00000091138	SLC26A3	ENSP00000345873	7	107765467	107803225	ENSTGUP00000015626	Amniota	ortholog_one2one	61.2036	62.5654	100	95.37	1
ENSTGUG00000003197	HDAC4	ENSG00000068024	HDAC4	ENSP00000440481	2	239048168	239401654	ENSTGUP00000003338	Amniota	ortholog_one2one	88.5216	88.5216	75	95.51	1
ENSTGUG00000003198	SATB1	ENSG00000182568	SATB1	ENSP00000341024	3	18345377	18445588	ENSTGUP00000028444	Amniota	ortholog_one2one	92.1914	95.9371	100	98.19	1
ENSTGUG00000003211	KCNH8	ENSG00000183960	KCNH8	ENSP00000328813	3	19148510	19535642	ENSTGUP00000003315	Amniota	ortholog_one2one	83.4986	83.6495	100	93.57	1
ENSTGUG00000003223	EFHB	ENSG00000163576	EFHB	ENSP00000295824	3	19879472	19947025	ENSTGUP00000003330	Amniota	ortholog_one2one	50.3425	35.2941	100	78.58	1
ENSTGUG00000003229	DLD	ENSG00000091140	DLD	ENSP00000205402	7	107891162	107931730	ENSTGUP00000003349	Sarcopterygii	ortholog_one2one	82.3853	88.2122	100	94.4	1
ENSTGUG00000003236	RAB5A	ENSG00000144566	RAB5A	ENSP00000273047	3	19947097	19985175	ENSTGUP00000027064	Euteleostomi	ortholog_one2one	58.6081	74.4186	100	81.5	1
ENSTGUG00000003244	NDUFA10	ENSG00000130414	NDUFA10	ENSP00000252711	2	239892450	240025743	ENSTGUP00000036058	Amniota	ortholog_one2one	53.0831	55.7746	50	62.51	1
ENSTGUG00000003246	KAT2B	ENSG00000114166	KAT2B	ENSP00000263754	3	20040446	20154404	ENSTGUP00000035312	Amniota	ortholog_one2one	82.963	80.7692	100	100	1
ENSTGUG00000003257	LAMB1	ENSG00000091136	LAMB1	ENSP00000222399	7	107923799	108003213	ENSTGUP00000003428	Amniota	ortholog_one2one	80.5602	80.5151	75	99.34	1
ENSTGUG00000003277	SGO1	ENSG00000129810	SGO1	ENSP00000410458	3	20160593	20186206	ENSTGUP00000003372	Amniota	ortholog_one2one	28.5953	32.4478	100	69.45	1
ENSTGUG00000003295	COL18A1	ENSG00000182871	COL18A1	ENSP00000498485	21	45405165	45513720	ENSTGUP00000024291	Amniota	ortholog_one2one	42.908	53.9955	50	60.86	1
ENSTGUG00000003303	UBE2E1	ENSG00000170142	UBE2E1	ENSP00000303709	3	23805955	23891640	ENSTGUP00000003417	Euteleostomi	ortholog_one2one	52.1212	89.1192	100	64.59	1
ENSTGUG00000003315	SLC25A43	ENSG00000077713	SLC25A43	ENSP00000217909	X	119399336	119454478	ENSTGUP00000033784	Amniota	ortholog_one2one	67.9887	70.3812	100	98.35	1
ENSTGUG00000003329	STEEP1	ENSG00000018610	STEEP1	ENSP00000494123	X	119538149	119565409	ENSTGUP00000003435	Amniota	ortholog_one2one	93.6364	92.7928	100	100	1
ENSTGUG00000003331	ERGIC2	ENSG00000087502	ERGIC2	ENSP00000353270	12	29337352	29381189	ENSTGUP00000003440	Amniota	ortholog_one2one	87.5332	87.5332	0	96.62	1
ENSTGUG00000003335	NR1D2	ENSG00000174738	NR1D2	ENSP00000310006	3	23945286	23980617	ENSTGUP00000003445	Amniota	ortholog_one2one	80.8028	79.9655	100	99.14	1
ENSTGUG00000003353	LRRK2	ENSG00000188906	LRRK2	ENSP00000298910	12	40196744	40369285	ENSTGUP00000021196	Amniota	ortholog_one2one	72.7381	72.22	50	98.06	1
ENSTGUG00000003356	NKRF	ENSG00000186416	NKRF	ENSP00000304803	X	119588337	119606443	ENSTGUP00000003457	Amniota	ortholog_one2one	60.6178	68.2609	100	100	1
ENSTGUG00000003361	SEPTIN6	ENSG00000125354	SEPTIN6	ENSP00000378108	X	119615724	119693370	ENSTGUP00000035760	Amniota	ortholog_one2one	83.3333	93.6768	100	50.46	1
ENSTGUG00000003374	RARB	ENSG00000077092	RARB	ENSP00000332296	3	25174332	25597932	ENSTGUP00000003501	Amniota	ortholog_one2one	78.7072	92.4107	100	97.44	1
ENSTGUG00000003386	COL6A2	ENSG00000142173	COL6A2	ENSP00000300527	21	46098112	46132848	ENSTGUP00000027814	Vertebrata	ortholog_one2one	68.381	70.4612	100	92.15	1
ENSTGUG00000003405	TOP2B	ENSG00000077097	TOP2B	ENSP00000264331	3	25597984	25664907	ENSTGUP00000003616	Amniota	ortholog_one2one	89.9441	89.1144	100	98.81	1
ENSTGUG00000003411	RPL39	ENSG00000198918	RPL39	ENSP00000355315	X	119786504	119791630	ENSTGUP00000003511	Euteleostomi	ortholog_one2one	98.0392	98.0392	100	98.11	1
ENSTGUG00000003413	UPF3B	ENSG00000125351	UPF3B	ENSP00000276201	X	119805311	119852998	ENSTGUP00000003529	Amniota	ortholog_one2one	64.2157	54.2443	100	74.99	1
ENSTGUG00000003415	SLC2A13	ENSG00000151229	SLC2A13	ENSP00000280871	12	39755025	40106089	ENSTGUP00000031787	Amniota	ortholog_one2one	85.8915	85.4938	75	100	1
ENSTGUG00000003422	FTCD	ENSG00000160282	FTCD	ENSP00000380854	21	46136160	46155579	ENSTGUP00000003550	Amniota	ortholog_one2one	70.2403	70.2403	100	96.12	1
ENSTGUG00000003429	ABCD2	ENSG00000173208	ABCD2	ENSP00000310688	12	39550033	39619803	ENSTGUP00000003553	Amniota	ortholog_one2one	84.6049	83.9189	100	100	1
ENSTGUG00000003432	NDUFA1	ENSG00000125356	NDUFA1	ENSP00000360492	X	119871832	119876662	ENSTGUP00000003537	Amniota	ortholog_one2one	67.1429	67.1429	100	0	1
ENSTGUG00000003447	TMEM255A	ENSG00000125355	TMEM255A	ENSP00000360420	X	120258650	120311556	ENSTGUP00000003557	Amniota	ortholog_one2one	82.9193	82.1538	100	91.41	1
ENSTGUG00000003457	KIF21A	ENSG00000139116	KIF21A	ENSP00000354878	12	39293228	39443390	ENSTGUP00000003574	Amniota	ortholog_one2one	85.9585	84.1099	100	95.95	1
ENSTGUG00000003458	MCM3AP	ENSG00000160294	MCM3AP	ENSP00000291688	21	46235133	46286297	ENSTGUP00000003592	Amniota	ortholog_one2one	59.3647	54.7475	75	78.37	1
ENSTGUG00000003461	ATP1B4	ENSG00000101892	ATP1B4	ENSP00000218008	X	120362085	120383249	ENSTGUP00000003580	Amniota	ortholog_one2one	55.7276	50.4202	100	79.2	1
ENSTGUG00000003483	LAMP2	ENSG00000005893	LAMP2	ENSP00000200639	X	120426148	120469365	ENSTGUP00000038544	Amniota	ortholog_one2one	41.5054	47.0732	100	67.89	1
ENSTGUG00000003495	YBEY	ENSG00000182362	YBEY	ENSP00000380813	21	46286342	46297751	ENSTGUP00000003595	Amniota	ortholog_one2one	57.9268	56.8862	50	64.15	1
ENSTGUG00000003497	POFUT2	ENSG00000186866	POFUT2	ENSP00000339613	21	45263928	45287898	ENSTGUP00000003618	Amniota	ortholog_one2one	72.6457	75.5245	0	89.22	1
ENSTGUG00000003508	CUL4B	ENSG00000158290	CUL4B	ENSP00000360373	X	120505920	120604074	ENSTGUP00000003658	Amniota	ortholog_one2one	90.991	90.2793	100	100	1
ENSTGUG00000003519	NGLY1	ENSG00000151092	NGLY1	ENSP00000280700	3	25718944	25790039	ENSTGUP00000003636	Amniota	ortholog_one2one	66.6179	69.5719	100	96.58	1
ENSTGUG00000003521	TRPM8	ENSG00000144481	TRPM8	ENSP00000323926	2	233917373	234019522	ENSTGUP00000003679	Amniota	ortholog_one2one	80.6306	81.0688	0	98.83	1
ENSTGUG00000003542	OXSM	ENSG00000151093	OXSM	ENSP00000280701	3	25782917	25794534	ENSTGUP00000003639	Amniota	ortholog_one2one	72.2222	73.6383	100	99.29	1
ENSTGUG00000003544	LRRC3B	ENSG00000179796	LRRC3B	ENSP00000379880	3	26622806	26717537	ENSTGUP00000027945	Amniota	ortholog_one2one	97.2973	97.2973	100	100	1
ENSTGUG00000003545	SLC4A7	ENSG00000033867	SLC4A7	ENSP00000406804	3	27372721	27484420	ENSTGUP00000003651	Amniota	ortholog_one2one	87.108	82.6446	100	97.94	1
ENSTGUG00000003563	GRIA3	ENSG00000125675	GRIA3	ENSP00000478489	X	123184153	123490915	ENSTGUP00000003783	Amniota	ortholog_one2one	94.8198	94.1834	100	100	1
ENSTGUG00000003572	RBMS3	ENSG00000144642	RBMS3	ENSP00000373277	3	28574791	30010391	ENSTGUP00000035705	Amniota	ortholog_one2one	71.0983	84.4394	100	98.23	1
ENSTGUG00000003583	AGAP1	ENSG00000157985	AGAP1	ENSP00000307634	2	235494043	236131800	ENSTGUP00000038609	Amniota	ortholog_one2one	65.3584	89.3816	50	95.76	1
ENSTGUG00000003590	TGFBR2	ENSG00000163513	TGFBR2	ENSP00000295754	3	30606601	30694142	ENSTGUP00000003689	Amniota	ortholog_one2one	73.7676	73.8977	100	91.18	1
ENSTGUG00000003593	GADL1	ENSG00000144644	GADL1	ENSP00000282538	3	30726197	30894661	ENSTGUP00000023847	Amniota	ortholog_one2one	77.5472	78.8868	100	93.5	1
ENSTGUG00000003596	CPNE8	ENSG00000139117	CPNE8	ENSP00000329748	12	38646822	38907430	ENSTGUP00000030934	Amniota	ortholog_one2one	80.2817	90.9574	75	91.43	1
ENSTGUG00000003625	GBX2	ENSG00000168505	GBX2	ENSP00000302251	2	236165236	236168386	ENSTGUP00000035245	Amniota	ortholog_one2one	84.8837	83.908	50	100	1
ENSTGUG00000003632	STT3B	ENSG00000163527	STT3B	ENSP00000295770	3	31532638	31637616	ENSTGUP00000003752	Amniota	ortholog_one2one	82.4385	89.2252	100	96.62	1
ENSTGUG00000003645	ACKR3	ENSG00000144476	ACKR3	ENSP00000272928	2	236567787	236582354	ENSTGUP00000031951	Amniota	ortholog_one2one	75.2747	75.6906	100	100	1
ENSTGUG00000003647	COPS8	ENSG00000198612	COPS8	ENSP00000346340	2	237085882	237100474	ENSTGUP00000023187	Amniota	ortholog_one2one	87.9227	87.0813	100	100	1
ENSTGUG00000003656	OSBPL10	ENSG00000144645	OSBPL10	ENSP00000379804	3	31657912	32077580	ENSTGUP00000003775	Amniota	ortholog_one2one	64.5342	75.2618	100	97.54	1
ENSTGUG00000003660		ENSG00000075218	GTSE1	ENSP00000415430	22	46296870	46330810	ENSTGUP00000003762	Amniota	ortholog_one2one	27.9211	24.8985	50	30.96	0
ENSTGUG00000003663	TRMU	ENSG00000100416	TRMU	ENSP00000496496	22	46330875	46357340	ENSTGUP00000003779	Amniota	ortholog_one2one	76.259	75.5344	50	94.68	1
ENSTGUG00000003667	COL6A3	ENSG00000163359	COL6A3	ENSP00000295550	2	237324003	237414328	ENSTGUP00000022128	Amniota	ortholog_one2one	61.1602	50.1102	100	90.17	1
ENSTGUG00000003673	GPD1L	ENSG00000152642	GPD1L	ENSP00000282541	3	32105689	32168709	ENSTGUP00000003785	Amniota	ortholog_one2one	81.7664	81.7664	100	32.8	1
ENSTGUG00000003678	CELSR1	ENSG00000075275	CELSR1	ENSP00000501367	22	46360834	46537620	ENSTGUP00000021134	Euteleostomi	ortholog_one2one	69.7459	67.2739	100	92.47	1
ENSTGUG00000003682	THOC2	ENSG00000125676	THOC2	ENSP00000245838	X	123600561	123733056	ENSTGUP00000027331	Amniota	ortholog_one2one	86.9701	87.5706	100	97.97	1
ENSTGUG00000003684	CMTM8	ENSG00000170293	CMTM8	ENSP00000307741	3	32238679	32370321	ENSTGUP00000003787	Amniota	ortholog_one2one	78.3333	81.5029	100	100	1
ENSTGUG00000003697	DYNC1LI1	ENSG00000144635	DYNC1LI1	ENSP00000273130	3	32525974	32570858	ENSTGUP00000003852	Amniota	ortholog_one2one	85.7143	87.1893	75	100	1
ENSTGUG00000003713	XIAP	ENSG00000101966	XIAP	ENSP00000360242	X	123859724	123913976	ENSTGUP00000031522	Amniota	ortholog_one2one	51.5152	51.3078	100	96.75	1
ENSTGUG00000003722	STAG2	ENSG00000101972	STAG2	ENSP00000360187	X	123960212	124422664	ENSTGUP00000003894	Amniota	ortholog_one2one	96.5135	96.0568	100	99.81	1
ENSTGUG00000003733	GRAMD4	ENSG00000075240	GRAMD4	ENSP00000385689	22	46576012	46679790	ENSTGUP00000003876	Amniota	ortholog_one2one	76.131	84.4291	100	91.82	1
ENSTGUG00000003749	CNOT10	ENSG00000182973	CNOT10	ENSP00000330060	3	32685145	32773875	ENSTGUP00000003887	Amniota	ortholog_one2one	92.2043	92.2043	50	99.04	1
ENSTGUG00000003766	MLPH	ENSG00000115648	MLPH	ENSP00000264605	2	237485428	237555322	ENSTGUP00000003889	Amniota	ortholog_one2one	42.4556	47.8333	100	65.23	1
ENSTGUG00000003773	CERK	ENSG00000100422	CERK	ENSP00000216264	22	46684410	46738252	ENSTGUP00000003893	Euteleostomi	ortholog_one2one	62.2468	62.9423	100	84.47	1
ENSTGUG00000003784	TRIM71	ENSG00000206557	TRIM71	ENSP00000373272	3	32817997	32897824	ENSTGUP00000003891	Amniota	ortholog_one2one	82.4601	83.4101	0	100	1
ENSTGUG00000003786	RAB17	ENSG00000124839	RAB17	ENSP00000264601	2	237574322	237601614	ENSTGUP00000003899	Amniota	ortholog_one2one	52.1127	52.3585	100	82.78	1
ENSTGUG00000003788	TCAIM	ENSG00000179152	TCAIM	ENSP00000341539	3	44338119	44409451	ENSTGUP00000003912	Amniota	ortholog_one2one	76.8916	75.8064	50	100	1
ENSTGUG00000003790	TBC1D22A	ENSG00000054611	TBC1D22A	ENSP00000336724	22	46762617	47175699	ENSTGUP00000003926	Euteleostomi	ortholog_one2one	79.6905	79.6905	100	99.47	1
ENSTGUG00000003791	SH2D1A	ENSG00000183918	SH2D1A	ENSP00000360181	X	124227868	124373197	ENSTGUP00000003903	Amniota	ortholog_one2one	72	70.3125	100	80.35	1
ENSTGUG00000003797		ENSG00000124831	LRRFIP1	ENSP00000310109	2	237627587	237813682	ENSTGUP00000036733	Gnathostomata	ortholog_one2one	21.679	36.7188	75	63.2	0
ENSTGUG00000003800	TENM1	ENSG00000009694	TENM1	ENSP00000403954	X	124375903	124963817	ENSTGUP00000021832	Amniota	ortholog_one2one	89.8636	89.2387	75	94.83	1
ENSTGUG00000003809	TOPAZ1	ENSG00000173769	TOPAZ1	ENSP00000310303	3	44241886	44332098	ENSTGUP00000003918	Amniota	ortholog_one2one	28.8746	34.5745	75	45.48	1
ENSTGUG00000003814	ABHD5	ENSG00000011198	ABHD5	ENSP00000495778	3	43690108	43734371	ENSTGUP00000031573	Amniota	ortholog_one2one	73.7401	79.6562	100	92.07	1
ENSTGUG00000003824	TAFA5	ENSG00000219438	TAFA5	ENSP00000383933	22	48489553	48850912	ENSTGUP00000021382	Gnathostomata	ortholog_one2one	65.7534	72.7273	100	78.07	1
ENSTGUG00000003830	ANO10	ENSG00000160746	ANO10	ENSP00000292246	3	43354859	43691594	ENSTGUP00000032100	Amniota	ortholog_one2one	75.7296	74.697	100	96.93	1
ENSTGUG00000003835	BRD1	ENSG00000100425	BRD1	ENSP00000216267	22	49773283	49827512	ENSTGUP00000038365	Amniota	ortholog_one2one	76.3485	86.9565	100	99.42	1
ENSTGUG00000003837	RAMP1	ENSG00000132329	RAMP1	ENSP00000254661	2	237858893	237912106	ENSTGUP00000038275	Amniota	ortholog_one2one	52.349	52.7027	50	90.01	1
ENSTGUG00000003848	SNRK	ENSG00000163788	SNRK	ENSP00000296088	3	43286512	43424764	ENSTGUP00000003957	Amniota	ortholog_one2one	92.1363	91.8954	100	100	1
ENSTGUG00000003854	POMGNT2	ENSG00000144647	POMGNT2	ENSP00000344125	3	43079232	43106079	ENSTGUP00000031296	Gnathostomata	ortholog_one2one	78.8927	78.6207	75	100	1
ENSTGUG00000003858	GASK1A	ENSG00000144649	GASK1A	ENSP00000407301	3	42979267	43060211	ENSTGUP00000003974	Amniota	ortholog_one2one	62.7986	32	50	77.3	1
ENSTGUG00000003862	ALG12	ENSG00000182858	ALG12	ENSP00000333813	22	49900229	49918438	ENSTGUP00000036366	Amniota	ortholog_one2one	66.8016	67.6229	75	100	1
ENSTGUG00000003872	MREG	ENSG00000118242	MREG	ENSP00000263268	2	215942584	216034096	ENSTGUP00000032043	Amniota	ortholog_one2one	59.292	62.6168	0	68.98	1
ENSTGUG00000003874	CRELD2	ENSG00000184164	CRELD2	ENSP00000332223	22	49918167	49927540	ENSTGUP00000003999	Amniota	ortholog_one2one	55.4348	57.7904	75	88.15	1
ENSTGUG00000003884		ENSG00000072080	SPP2	ENSP00000168148	2	234050679	234077134	ENSTGUP00000003989	Amniota	ortholog_one2one	32.8042	29.3839	25	0	0
ENSTGUG00000003897	PIM3	ENSG00000198355	PIM3	ENSP00000353824	22	49960768	49964072	ENSTGUP00000004016	Euteleostomi	ortholog_one2one	80.4348	79.4479	0	100	1
ENSTGUG00000003899	SMARCA1	ENSG00000102038	SMARCA1	ENSP00000360162	X	129446501	129523500	ENSTGUP00000021957	Amniota	ortholog_one2one	89.6728	81.9626	50	95.56	1
ENSTGUG00000003902	ENTPD3	ENSG00000168032	ENTPD3	ENSP00000301825	3	40387184	40428744	ENSTGUP00000004020	Amniota	ortholog_one2one	61.7702	62.0038	25	93.2	1
ENSTGUG00000003914	IL17REL	ENSG00000188263	IL17REL	ENSP00000342520	22	49994513	50012659	ENSTGUP00000004021	Amniota	ortholog_one2one	28.7212	40.7738	75	1.54	1
ENSTGUG00000003918	MLC1	ENSG00000100427	MLC1	ENSP00000310375	22	50059391	50085426	ENSTGUP00000004050	Amniota	ortholog_one2one	73.0871	73.4748	50	85.33	1
ENSTGUG00000003947	MOV10L1	ENSG00000073146	MOV10L1	ENSP00000262794	22	50089879	50161690	ENSTGUP00000004062	Amniota	ortholog_one2one	55.7025	55.6565	100	75.96	1
ENSTGUG00000003950	GAB3	ENSG00000160219	GAB3	ENSP00000399588	X	154675249	154751583	ENSTGUP00000004066	Amniota	ortholog_one2one	63.0691	63.7138	0	96.06	1
ENSTGUG00000003957	PANX2	ENSG00000073150	PANX2	ENSP00000379183	22	50170731	50180295	ENSTGUP00000004068	Gnathostomata	ortholog_one2one	73.4904	73.7075	100	94.71	1
ENSTGUG00000003963	TRABD	ENSG00000170638	TRABD	ENSP00000370295	22	50185913	50199598	ENSTGUP00000020276	Gnathostomata	ortholog_one2one	76.4075	75.7979	100	90.51	1
ENSTGUG00000003976	SELENOO	ENSG00000073169	SELENOO	ENSP00000370288	22	50200979	50217616	ENSTGUP00000004096	Amniota	ortholog_one2one	69.2424	68.3109	100	92.24	1
ENSTGUG00000003993	TUBGCP6	ENSG00000128159	TUBGCP6	ENSP00000248846	22	50217689	50245023	ENSTGUP00000004112	Gnathostomata	ortholog_one2one	60.84	58.9335	100	75.58	1
ENSTGUG00000004003	HDAC10	ENSG00000100429	HDAC10	ENSP00000216271	22	50245183	50251405	ENSTGUP00000027523	Gnathostomata	ortholog_one2one	48.5294	49.3274	100	44.52	1
ENSTGUG00000004011	VBP1	ENSG00000155959	VBP1	ENSP00000286428	X	155197007	155239841	ENSTGUP00000004139	Amniota	ortholog_one2one	84.9741	83.2487	25	85.95	1
ENSTGUG00000004046	MAPK12	ENSG00000188130	MAPK12	ENSP00000215659	22	50245450	50261716	ENSTGUP00000004189	Amniota	ortholog_one2one	80.3324	79.0191	100	70.79	1
ENSTGUG00000004066	VSIG1	ENSG00000101842	VSIG1	ENSP00000217957	X	108044970	108079184	ENSTGUP00000004185	Amniota	ortholog_one2one	44.0367	37.2093	50	57.57	1
ENSTGUG00000004078	MAPK11	ENSG00000185386	MAPK11	ENSP00000333685	22	50263713	50270767	ENSTGUP00000004226	Euteleostomi	ortholog_one2one	79.2244	78.5714	75	36.21	1
ENSTGUG00000004088	ATG4A	ENSG00000101844	ATG4A	ENSP00000361306	X	108091668	108154671	ENSTGUP00000004211	Amniota	ortholog_one2one	81.3602	81.1558	100	100	1
ENSTGUG00000004100	COL4A6	ENSG00000197565	COL4A6	ENSP00000334733	X	108155607	108439497	ENSTGUP00000004257	Amniota	ortholog_one2one	65.1003	61.4793	100	89.28	1
ENSTGUG00000004115	PLXNB2	ENSG00000196576	PLXNB2	ENSP00000352288	22	50274979	50307646	ENSTGUP00000031621	Amniota	ortholog_one2one	65.7629	67.3014	50	73.79	1
ENSTGUG00000004144	COL4A5	ENSG00000188153	COL4A5	ENSP00000331902	X	108439838	108697545	ENSTGUP00000020155	Amniota	ortholog_one2one	78.0012	78.0012	100	91.7	1
ENSTGUG00000004194	ZNF800	ENSG00000048405	ZNF800	ENSP00000265827	7	127346790	127431924	ENSTGUP00000004311	Amniota	ortholog_one2one	77.7469	84.1867	50	96.42	1
ENSTGUG00000004198	GRM8	ENSG00000179603	GRM8	ENSP00000344173	7	126438598	127253093	ENSTGUP00000004332	Amniota	ortholog_one2one	93.0464	92.8414	75	100	1
ENSTGUG00000004218	POT1	ENSG00000128513	POT1	ENSP00000350249	7	124822386	124929983	ENSTGUP00000004367	Amniota	ortholog_one2one	47.3885	58.6751	75	88.86	1
ENSTGUG00000004270	SPAM1	ENSG00000106304	SPAM1	ENSP00000508393	7	123925237	123971414	ENSTGUP00000004389	Amniota	ortholog_one2one	42.8328	49.3124	50	82.28	1
ENSTGUG00000004276	WASL	ENSG00000106299	WASL	ENSP00000223023	7	123681943	123749003	ENSTGUP00000028587	Amniota	ortholog_one2one	86.785	87.1287	75	97.83	1
ENSTGUG00000004291	ACSL4	ENSG00000068366	ACSL4	ENSP00000500273	X	109624244	109733403	ENSTGUP00000020750	Amniota	ortholog_one2one	81.4346	86.4179	100	100	1
ENSTGUG00000004323	DENND1B	ENSG00000213047	DENND1B	ENSP00000479816	1	197504748	197775696	ENSTGUP00000004480	Vertebrata	ortholog_one2one	73.891	75.2258	100	99.76	1
ENSTGUG00000004327	LMOD2	ENSG00000170807	LMOD2	ENSP00000411932	7	123655866	123664290	ENSTGUP00000004449	Amniota	ortholog_one2one	70.4251	69.6526	100	100	1
ENSTGUG00000004331		ENSG00000164675	IQUB	ENSP00000324882	7	123452193	123535077	ENSTGUP00000004459	Amniota	ortholog_one2one	29.0323	7.9646	100	70.87	0
ENSTGUG00000004349	SLC13A1	ENSG00000081800	SLC13A1	ENSP00000194130	7	123113531	123199972	ENSTGUP00000004522	Amniota	ortholog_one2one	73.4918	67.563	100	91.05	1
ENSTGUG00000004360	AMMECR1	ENSG00000101935	AMMECR1	ENSP00000262844	X	110194186	110440318	ENSTGUP00000004489	Amniota	ortholog_one2one	74.4048	75.0751	50	100	1
ENSTGUG00000004361	LHX9	ENSG00000143355	LHX9	ENSP00000356357	1	197911902	197935478	ENSTGUP00000035046	Amniota	ortholog_one2one	95.2141	95.2141	100	100	1
ENSTGUG00000004370	CHRDL1	ENSG00000101938	CHRDL1	ENSP00000361112	X	110673856	110795819	ENSTGUP00000004502	Amniota	ortholog_one2one	79.085	79.2576	50	92.9	1
ENSTGUG00000004374	NEK7	ENSG00000151414	NEK7	ENSP00000356355	1	198156994	198322420	ENSTGUP00000023675	Amniota	ortholog_one2one	80.8824	91.0596	100	94.88	1
ENSTGUG00000004384		ENSG00000077264	PAK3	ENSP00000361077	X	110944285	111227361	ENSTGUP00000004564	Amniota	ortholog_one2one	93.5484	95.9559	25	28.36	0
ENSTGUG00000004389	PTPRC	ENSG00000081237	PTPRC	ENSP00000411355	1	198638457	198757476	ENSTGUP00000027581	Amniota	ortholog_one2one	51.5913	47.1669	100	60.27	1
ENSTGUG00000004403	CADPS2	ENSG00000081803	CADPS2	ENSP00000398481	7	122318411	122886759	ENSTGUP00000024447	Amniota	ortholog_one2one	88.4704	88.8117	100	93.93	1
ENSTGUG00000004419	NR5A2	ENSG00000116833	NR5A2	ENSP00000356331	1	200027614	200177420	ENSTGUP00000004556	Amniota	ortholog_one2one	97.7956	90.2033	100	98.24	1
ENSTGUG00000004442	KIF14	ENSG00000118193	KIF14	ENSP00000356319	1	200551497	200620751	ENSTGUP00000004574	Amniota	ortholog_one2one	52.6605	52.2451	100	92.5	1
ENSTGUG00000004446	RNF128	ENSG00000133135	RNF128	ENSP00000255499	X	106693794	106797016	ENSTGUP00000004582	Amniota	ortholog_one2one	43.1818	48.8318	25	93.95	1
ENSTGUG00000004456	DDX59	ENSG00000118197	DDX59	ENSP00000330460	1	200623896	200669907	ENSTGUP00000004593	Amniota	ortholog_one2one	70.418	70.7593	75	100	1
ENSTGUG00000004458	NELL1	ENSG00000165973	NELL1	ENSP00000349654	11	20669551	21575686	ENSTGUP00000004653	Amniota	ortholog_one2one	86.1386	85.9259	50	97.91	1
ENSTGUG00000004476	CAMSAP2	ENSG00000118200	CAMSAP2	ENSP00000351684	1	200739558	200860704	ENSTGUP00000004612	Amniota	ortholog_one2one	83.8384	84.2355	50	98.32	1
ENSTGUG00000004488	FEZF1	ENSG00000128610	FEZF1	ENSP00000411145	7	122301303	122310691	ENSTGUP00000004619	Amniota	ortholog_one2one	83.7719	80.4211	100	98.53	1
ENSTGUG00000004496	AASS	ENSG00000008311	AASS	ENSP00000403768	7	122064583	122144308	ENSTGUP00000004667	Amniota	ortholog_one2one	68.5427	73.6501	100	96.99	1
ENSTGUG00000004499	WDR47	ENSG00000085433	WDR47	ENSP00000358979	1	108970214	109042113	ENSTGUP00000004630	Euteleostomi	ortholog_one2one	86.5765	90.5332	50	95.61	1
ENSTGUG00000004500	TBC1D8B	ENSG00000133138	TBC1D8B	ENSP00000349781	X	106802673	106876150	ENSTGUP00000004684	Amniota	ortholog_one2one	76.6638	79.1964	0	93.72	1
ENSTGUG00000004508	CLCC1	ENSG00000121940	CLCC1	ENSP00000358986	1	108927361	108963504	ENSTGUP00000004644	Amniota	ortholog_one2one	47.7927	45.1906	50	77.93	1
